Band (nm),TSS_PLSR_Coefficients
Intercept,3.800530074459645
400.0,-0.001742606047460563
401.0,-0.0025618813283772926
402.0,-0.002954922750940426
403.0,-0.002924274956112217
404.0,-0.002567521903178784
405.0,-0.002006622326106505
406.0,-0.001280077110675653
407.0,-0.000994099535714251
408.0,-0.0008735742143324078
409.0,-0.0008028928260668223
410.0,-0.0005544151998605703
411.0,-0.00012057252003638526
412.0,0.00013847399451011918
413.0,0.0003597245716755124
414.0,0.0009217258599458988
415.0,0.0016142757199319986
416.0,0.002216581466953872
417.0,0.0026379601359149897
418.0,0.002896011714207256
419.0,0.0031516856792282322
420.0,0.0033579505457001636
421.0,0.0033115745969225885
422.0,0.003264608351408562
423.0,0.0034409046381983026
424.0,0.0037012932658520535
425.0,0.00385383343475887
426.0,0.003922306041407384
427.0,0.004083267537698236
428.0,0.004282607791380588
429.0,0.004375930903290907
430.0,0.004346590903528801
431.0,0.004300175205333947
432.0,0.004441158311835137
433.0,0.004780219187859533
434.0,0.005101014275491119
435.0,0.005446965041861611
436.0,0.005843352037832995
437.0,0.006202206142530183
438.0,0.00636734947730334
439.0,0.006458876036728134
440.0,0.006606962881777887
441.0,0.006813895115072706
442.0,0.007110330747620795
443.0,0.00749846312976638
444.0,0.007971087609671829
445.0,0.008486442475341202
446.0,0.008950974064113545
447.0,-9999.0
448.0,-9999.0
449.0,-9999.0
450.0,-9999.0
451.0,-9999.0
452.0,-9999.0
453.0,-9999.0
454.0,-9999.0
455.0,-9999.0
456.0,-9999.0
457.0,-9999.0
458.0,-9999.0
459.0,-9999.0
460.0,-9999.0
461.0,-9999.0
462.0,-9999.0
463.0,-9999.0
464.0,-9999.0
465.0,-9999.0
466.0,-9999.0
467.0,-9999.0
468.0,-9999.0
469.0,-9999.0
470.0,-9999.0
471.0,-9999.0
472.0,-9999.0
473.0,-9999.0
474.0,-9999.0
475.0,-9999.0
476.0,-9999.0
477.0,-9999.0
478.0,-9999.0
479.0,-9999.0
480.0,-9999.0
481.0,-9999.0
482.0,-9999.0
483.0,-9999.0
484.0,-9999.0
485.0,-9999.0
486.0,-9999.0
487.0,-9999.0
488.0,-9999.0
489.0,-9999.0
490.0,-9999.0
491.0,-9999.0
492.0,-9999.0
493.0,-9999.0
494.0,-9999.0
495.0,-9999.0
496.0,-9999.0
497.0,-9999.0
498.0,-9999.0
499.0,-9999.0
500.0,-9999.0
501.0,-9999.0
502.0,-9999.0
503.0,-9999.0
504.0,-9999.0
505.0,-9999.0
506.0,-9999.0
507.0,-9999.0
508.0,-9999.0
509.0,-9999.0
510.0,-9999.0
511.0,-9999.0
512.0,-9999.0
513.0,-9999.0
514.0,-9999.0
515.0,-9999.0
516.0,-9999.0
517.0,-9999.0
518.0,-9999.0
519.0,-9999.0
520.0,-9999.0
521.0,-9999.0
522.0,-9999.0
523.0,-9999.0
524.0,-9999.0
525.0,-9999.0
526.0,-9999.0
527.0,-9999.0
528.0,-9999.0
529.0,-9999.0
530.0,-9999.0
531.0,-9999.0
532.0,-9999.0
533.0,-9999.0
534.0,-9999.0
535.0,-9999.0
536.0,-9999.0
537.0,-9999.0
538.0,-9999.0
539.0,-9999.0
540.0,-9999.0
541.0,-9999.0
542.0,-9999.0
543.0,-9999.0
544.0,-9999.0
545.0,-9999.0
546.0,-9999.0
547.0,-9999.0
548.0,-9999.0
549.0,-9999.0
550.0,-9999.0
551.0,-9999.0
552.0,-9999.0
553.0,-9999.0
554.0,-9999.0
555.0,-9999.0
556.0,-9999.0
557.0,-9999.0
558.0,-9999.0
559.0,-9999.0
560.0,-9999.0
561.0,-9999.0
562.0,-9999.0
563.0,-9999.0
564.0,-9999.0
565.0,-9999.0
566.0,-9999.0
567.0,-9999.0
568.0,-9999.0
569.0,-9999.0
570.0,-9999.0
571.0,-9999.0
572.0,-9999.0
573.0,-9999.0
574.0,-9999.0
575.0,-9999.0
576.0,-9999.0
577.0,-9999.0
578.0,0.030433976763175198
579.0,0.030495745639881968
580.0,0.03055430183690334
581.0,0.030606624686895074
582.0,0.03065517695837177
583.0,0.030696276807544564
584.0,0.03072761074301893
585.0,0.03074969631724444
586.0,0.03076117285782215
587.0,0.0307666035180207
588.0,0.030766963082222314
589.0,0.030750181754747752
590.0,0.030715204639362875
591.0,0.030661731930398978
592.0,0.03059352169127861
593.0,0.030516891358062945
594.0,0.03042911221491823
595.0,0.030323522877301237
596.0,0.030200711119534422
597.0,0.030067434430154426
598.0,-9999.0
599.0,-9999.0
600.0,-9999.0
601.0,-9999.0
602.0,-9999.0
603.0,-9999.0
604.0,-9999.0
605.0,-9999.0
606.0,-9999.0
607.0,-9999.0
608.0,-9999.0
609.0,-9999.0
610.0,-9999.0
611.0,-9999.0
612.0,-9999.0
613.0,-9999.0
614.0,-9999.0
615.0,-9999.0
616.0,-9999.0
617.0,-9999.0
618.0,-9999.0
619.0,-9999.0
620.0,-9999.0
621.0,-9999.0
622.0,-9999.0
623.0,-9999.0
624.0,-9999.0
625.0,-9999.0
626.0,-9999.0
627.0,-9999.0
628.0,-9999.0
629.0,-9999.0
630.0,-9999.0
631.0,-9999.0
632.0,-9999.0
633.0,-9999.0
634.0,-9999.0
635.0,-9999.0
636.0,-9999.0
637.0,-9999.0
638.0,-9999.0
639.0,-9999.0
640.0,-9999.0
641.0,-9999.0
642.0,-9999.0
643.0,-9999.0
644.0,-9999.0
645.0,-9999.0
646.0,-9999.0
647.0,-9999.0
648.0,-9999.0
649.0,-9999.0
650.0,-9999.0
651.0,-9999.0
652.0,-9999.0
653.0,-9999.0
654.0,-9999.0
655.0,-9999.0
656.0,-9999.0
657.0,-9999.0
658.0,-9999.0
659.0,-9999.0
660.0,-9999.0
661.0,-9999.0
662.0,-9999.0
663.0,-9999.0
664.0,-9999.0
665.0,-9999.0
666.0,-9999.0
667.0,-9999.0
668.0,-9999.0
669.0,-9999.0
670.0,-9999.0
671.0,-9999.0
672.0,-9999.0
673.0,-9999.0
674.0,-9999.0
675.0,-9999.0
676.0,-9999.0
677.0,-9999.0
678.0,-9999.0
679.0,-9999.0
680.0,-9999.0
681.0,-9999.0
682.0,-9999.0
683.0,-9999.0
684.0,-9999.0
685.0,-9999.0
686.0,-9999.0
687.0,-9999.0
688.0,-9999.0
689.0,-9999.0
690.0,-9999.0
691.0,-9999.0
692.0,-9999.0
693.0,-9999.0
694.0,-9999.0
695.0,-9999.0
696.0,-9999.0
697.0,-9999.0
698.0,-9999.0
699.0,-9999.0
700.0,-9999.0
701.0,-9999.0
702.0,-9999.0
703.0,-9999.0
704.0,-9999.0
705.0,-9999.0
706.0,-9999.0
707.0,-9999.0
708.0,-9999.0
709.0,-9999.0
710.0,-9999.0
711.0,-9999.0
712.0,-9999.0
713.0,-9999.0
714.0,-9999.0
715.0,-9999.0
716.0,-9999.0
717.0,-9999.0
718.0,-9999.0
719.0,-9999.0
720.0,-9999.0
721.0,-9999.0
722.0,-9999.0
723.0,-9999.0
724.0,-9999.0
725.0,-9999.0
726.0,-9999.0
727.0,-9999.0
728.0,-9999.0
729.0,-9999.0
730.0,-9999.0
731.0,-9999.0
732.0,-9999.0
733.0,-9999.0
734.0,-9999.0
735.0,-9999.0
736.0,-9999.0
737.0,-9999.0
738.0,-9999.0
739.0,-9999.0
740.0,-9999.0
741.0,0.010898779048294189
742.0,0.010360910066290342
743.0,0.009908089665011843
744.0,0.009562959826033125
745.0,0.0093816470881704
746.0,0.009423522855130168
747.0,0.009507456249760998
748.0,0.009699646628765282
749.0,0.009998718297288442
750.0,0.010388937461561104
751.0,0.010855717988941542
752.0,0.01138963707583002
753.0,0.011958492660998112
754.0,-9999.0
755.0,-9999.0
756.0,-9999.0
757.0,-9999.0
758.0,-9999.0
759.0,-9999.0
760.0,-9999.0
761.0,-9999.0
762.0,-9999.0
763.0,-9999.0
764.0,-9999.0
765.0,-9999.0
766.0,-9999.0
767.0,-9999.0
768.0,-9999.0
769.0,-9999.0
770.0,-9999.0
771.0,-9999.0
772.0,-9999.0
773.0,0.01437491217793434
774.0,0.014124656893470068
775.0,0.013987292756791454
776.0,0.013945611391372544
777.0,0.014025408818089688
778.0,0.014219411270708682
779.0,0.01449824008771341
780.0,0.014799383658750805
781.0,0.015135871499610733
782.0,0.015513310651818019
783.0,-9999.0
784.0,-9999.0
785.0,-9999.0
786.0,-9999.0
787.0,-9999.0
788.0,-9999.0
789.0,-9999.0
790.0,-9999.0
791.0,-9999.0
792.0,-9999.0
793.0,-9999.0
794.0,-9999.0
795.0,-9999.0
796.0,-9999.0
797.0,-9999.0
798.0,-9999.0
799.0,-9999.0
800.0,-9999.0
801.0,-9999.0
802.0,-9999.0
803.0,-9999.0
804.0,-9999.0
805.0,-9999.0
806.0,-9999.0
807.0,-9999.0
808.0,-9999.0
809.0,-9999.0
810.0,-9999.0
811.0,-9999.0
812.0,-9999.0
813.0,-9999.0
814.0,-9999.0
815.0,-9999.0
816.0,-9999.0
817.0,-9999.0
818.0,-9999.0
819.0,-9999.0
820.0,-9999.0
821.0,-9999.0
822.0,-9999.0
823.0,-9999.0
824.0,-9999.0
825.0,-9999.0
826.0,-9999.0
827.0,-9999.0
828.0,-9999.0
829.0,-9999.0
830.0,-9999.0
831.0,-9999.0
832.0,-9999.0
833.0,-9999.0
834.0,-9999.0
835.0,-9999.0
836.0,0.0069524535277674104
837.0,0.005108417120672575
838.0,0.0034178445013321305
839.0,0.0023418731735622617
840.0,0.0012235363041731963
841.0,-0.0008200053349909741
842.0,-0.003329214580615306
843.0,-0.0033666859634402945
844.0,-0.0034494463216834673
845.0,-0.0035173436222131808
846.0,-0.0035132018593006763
847.0,-0.003525024523688351
848.0,-0.0035381226286527252
849.0,-0.0036029974900884227
850.0,-0.003909792360347873
851.0,-0.004270283432858194
852.0,-0.004109785375029624
853.0,-0.003950709618963908
854.0,-0.003551106993435718
855.0,-0.0031728736671695072
856.0,-0.0024871375491624294
857.0,-0.00027008773773231406
858.0,-0.00037168378426496817
859.0,-0.0005306720099690787
860.0,-0.0008426539107767167
861.0,-0.0013253157489945095
862.0,-0.0016772265098764236
863.0,-0.0023668798591671403
864.0,-0.002010732697451039
865.0,-0.0013691061819417435
866.0,-0.0009684265886824608
867.0,-0.0007448387797605514
868.0,-0.000561778522869729
869.0,-0.000362181794119918
870.0,0.00024863784700455293
871.0,0.0006735716850722977
872.0,0.0005642692724722063
873.0,0.0006688430965763637
874.0,0.0008182171186664641
875.0,-9999.0
876.0,-9999.0
877.0,-9999.0
878.0,-9999.0
879.0,-9999.0
880.0,-9999.0
881.0,-9999.0
882.0,-9999.0
883.0,-9999.0
884.0,-9999.0
885.0,-9999.0
886.0,-9999.0
887.0,0.0018342910929314967
888.0,0.0018258504573057549
889.0,0.0018069753131352755
890.0,0.0018083145667755877
891.0,0.0018040613115754217
892.0,0.0018026247730436942
893.0,0.0018041026760948807
894.0,0.0018065613952889994
895.0,0.001801299080387385
896.0,0.0017925951345198442
897.0,0.001781373714724967
898.0,0.0017677112506676166
899.0,0.001751782031163762
900.0,0.0017344255263926896
